IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
107,6.61,6.28,8,0,8,8,4,No
97,5.52,5.37,8,0,7,8,0,No
109,5.36,5.83,9,0,3,1,1,No
122,5.47,5.75,6,1,1,6,1,No
96,7.91,7.69,7,0,8,10,2,No
96,5.26,5.32,7,0,5,8,0,No
123,6.68,6.58,5,0,7,8,2,Yes
111,8.77,8.76,7,0,3,1,2,Yes
92,6.47,6.33,9,0,7,8,5,No
108,8.82,8.6,4,0,5,9,1,No
93,8.73,8.9,2,1,5,6,0,No
93,6.23,6.51,8,0,5,7,4,No
103,8.64,9.01,7,1,8,6,1,No
71,8.74,8.4,6,0,0,5,2,No
74,6.99,7.31,7,0,0,1,2,No
91,6.05,5.8,3,0,4,2,3,No
84,7.61,7.54,6,0,0,10,0,No
104,9.61,10.01,10,1,9,2,4,No
86,8.2,8.15,7,0,8,9,4,Yes
78,5.86,5.56,7,1,3,6,2,No
121,8.41,8.07,5,1,1,3,3,Yes
96,7.14,7.11,3,1,2,3,3,No
101,7.96,8.22,2,1,8,10,0,No
78,8.67,9.17,7,1,10,10,2,Yes
91,7.57,7.86,4,1,7,2,2,No
101,9.07,9.45,2,0,2,7,2,No
82,8.61,8.86,8,0,7,1,0,No
105,8.08,8.48,2,0,3,1,4,No
90,5.75,5.33,6,1,5,10,1,No
95,9.18,9.61,4,1,3,3,3,No
90,9.68,9.58,9,1,10,1,4,No
127,5.68,6.1,5,0,4,3,1,No
99,7.44,7.02,4,0,9,9,4,No
84,6.29,6.51,8,0,8,7,4,No
112,8.77,9.01,3,1,1,9,4,Yes
81,8.61,9.11,9,1,8,7,4,No
103,5.7,5.97,8,1,2,9,2,No
70,9.39,9.27,8,0,4,3,4,No
80,5.9,5.96,10,1,6,7,1,No
102,8.99,8.86,5,0,1,6,1,No
111,7.28,6.98,1,0,3,2,3,No
102,6.64,6.39,10,0,0,6,5,No
98,5.79,5.51,9,0,10,3,0,No
95,5.84,5.89,2,1,2,2,1,No
77,8.31,8.72,1,1,5,5,1,No
89,7.75,8.16,6,1,1,5,1,No
93,5.61,5.16,1,1,7,2,1,No
115,5.56,5.14,10,1,6,3,0,No
105,5.36,5.11,10,0,2,8,0,No
73,8.72,8.48,10,1,0,5,5,No
104,8.56,8.15,7,0,9,8,4,Yes
94,5.29,5.18,7,1,3,10,5,No
89,7.8,7.89,1,1,3,4,1,No
109,5.42,5.5,10,0,10,4,1,No
115,9.52,9.56,5,0,4,6,3,Yes
113,9.54,9.38,3,0,2,10,3,Yes
87,8.49,8.7,2,0,10,5,3,No
95,9.63,9.96,5,0,1,5,3,No
104,9.06,8.91,5,0,1,9,4,Yes
114,9.14,8.73,2,1,7,6,2,Yes
92,7.85,7.65,6,0,6,3,3,No
97,6.53,6.17,7,0,0,4,3,No
83,6.09,6.06,1,0,8,9,0,No
82,6.64,6.3,3,0,2,6,5,No
112,8.14,8.1,4,0,2,8,1,Yes
120,5.86,5.58,2,0,0,7,4,No
98,6.29,6.53,10,1,10,1,1,No
115,7.34,6.87,5,1,3,1,2,No
105,6.17,6.22,4,0,9,10,4,No
90,7.94,7.61,2,0,10,7,2,No
105,9.62,9.12,1,1,1,2,1,No
123,8.74,9.11,8,0,2,9,0,Yes
99,8.33,8.5,2,0,10,10,3,Yes
123,7.91,7.51,4,0,0,9,1,No
60,7.44,7.6,10,1,2,2,4,No
112,5.93,6.04,5,0,3,9,3,Yes
101,9.47,9.44,2,0,5,9,4,Yes
95,6.24,6.16,10,0,2,10,2,No
101,5.46,5.85,9,1,10,6,4,No
70,8.75,8.5,2,0,5,5,0,No
96,5.88,5.78,6,0,1,10,2,No
105,6.86,6.69,7,0,10,2,5,No
122,5.14,5.41,6,0,7,6,5,No
92,5.69,6.11,4,0,4,9,1,No
87,5.87,6.22,1,0,0,3,3,No
92,5.27,5.57,2,0,5,3,3,No
113,8.28,8.77,10,0,2,4,0,No
104,9.19,9.39,10,1,3,10,4,Yes
92,6.87,7.12,6,0,9,4,1,No
107,9.37,9.85,8,1,7,1,5,No
101,6.07,5.58,3,1,7,2,4,No
114,6.63,6.76,7,0,10,6,5,No
89,5.75,5.99,9,0,7,5,4,No
95,8.1,8.52,4,1,4,10,0,No
94,7.1,7.48,7,0,0,4,5,No
78,8.07,8.41,7,0,8,10,2,Yes
104,8.81,9.26,10,0,10,9,5,Yes
103,7.73,7.77,9,1,8,2,2,No
100,8.14,7.65,3,0,7,8,0,No
96,9.68,9.19,1,1,10,4,0,No
78,6.5,6.54,8,1,2,9,0,No
93,6.8,6.74,4,0,5,4,4,No
94,8.59,8.54,2,0,6,2,5,No
87,8.06,7.96,5,0,3,6,5,No
97,5.89,6.31,4,0,9,9,4,No
106,6.88,6.74,1,1,6,7,1,No
128,7.34,7.7,7,0,8,1,0,No
102,7.1,7.5,4,0,5,9,4,No
103,5.89,5.89,8,1,1,6,2,No
98,9.62,9.57,9,0,5,9,5,Yes
71,8.81,9.07,8,1,2,2,5,No
99,7.41,7.62,1,0,6,7,0,No
100,8.4,8.23,8,1,2,8,2,Yes
136,9.49,9.09,5,0,7,8,3,Yes
97,5.68,5.44,1,1,10,5,1,No
104,6.25,5.88,9,1,10,7,3,No
99,7.71,7.5,9,0,4,7,1,No
82,9.0,8.76,7,0,2,3,0,No
117,5.18,5.32,7,0,0,2,5,No
111,9.92,10.37,1,0,4,5,1,No
111,7.27,7.46,9,0,9,4,4,No
86,6.8,7.23,1,1,9,8,2,No
121,6.46,6.74,7,0,10,5,5,No
78,5.87,6.1,9,0,2,9,4,No
108,8.96,8.87,9,0,3,7,0,No
132,9.78,9.6,5,0,9,1,3,Yes
85,7.07,7.42,6,0,3,2,2,No
91,9.76,10.17,2,0,2,8,0,No
101,9.12,9.07,2,0,5,10,4,Yes
92,7.41,6.92,10,0,5,8,4,No
76,8.37,8.66,9,0,0,2,1,No
101,7.17,6.96,1,0,3,7,1,No
84,7.79,7.3,10,1,0,8,3,No
107,5.29,5.59,5,1,6,4,1,No
86,8.48,8.5,7,0,6,3,1,No
123,5.26,5.45,10,1,5,10,1,No
88,9.09,9.5,6,0,10,9,3,Yes
95,9.12,9.16,6,0,1,2,0,No
112,6.19,6.19,6,0,3,3,5,No
81,6.62,6.41,8,0,2,8,2,No
103,7.41,7.22,7,1,10,2,0,No
119,7.98,8.28,5,0,7,5,5,Yes
75,6.44,6.39,10,0,1,10,5,No
102,7.96,7.62,2,1,9,8,0,No
103,6.49,6.08,10,0,1,7,0,No
111,5.28,5.25,6,1,0,4,4,No
81,5.01,4.97,10,0,8,10,2,No
80,5.51,5.66,5,0,2,9,2,No
107,8.96,8.93,4,1,7,2,4,No
104,9.81,9.45,10,0,6,7,5,No
103,7.13,7.14,5,0,0,7,4,No
105,7.56,7.97,9,0,10,7,5,No
89,5.73,5.39,2,1,5,7,1,No
103,7.76,7.95,6,0,7,5,4,No
104,5.72,5.81,9,0,5,1,3,No
89,8.06,8.31,10,0,8,4,4,No
127,9.67,9.32,5,1,9,5,1,No
107,5.98,6.42,6,0,2,10,4,No
82,8.82,8.94,10,0,5,4,3,No
109,5.12,5.47,4,1,9,7,4,No
85,6.88,6.63,5,0,3,2,5,No
111,5.55,5.79,8,0,9,2,0,No
117,6.76,7.04,1,1,2,2,2,No
87,5.87,5.77,1,1,7,10,3,No
114,6.87,6.75,10,1,6,3,3,No
106,7.09,7.25,4,1,6,5,3,No
112,6.5,6.09,10,1,4,10,5,Yes
128,8.28,8.52,3,1,0,9,0,Yes
96,9.59,9.13,5,1,5,3,0,No
88,7.0,6.69,10,1,5,6,2,No
86,5.96,6.12,8,1,2,6,1,No
87,6.35,5.95,1,0,4,6,2,No
98,9.27,9.74,5,0,8,5,3,No
105,7.86,8.23,5,0,6,2,3,No
104,7.28,7.41,2,1,7,1,3,No
112,5.75,6.07,5,1,8,5,2,No
100,7.25,7.64,8,1,5,8,1,No
121,6.39,6.15,10,1,4,10,1,No
96,9.72,10.07,7,0,9,5,2,No
140,9.42,9.11,2,0,4,3,5,Yes
109,5.42,5.33,6,1,4,3,3,No
87,7.58,7.64,10,0,3,2,2,No
83,6.13,6.34,1,0,1,7,2,No
107,7.05,6.58,10,0,6,2,4,No
96,9.38,9.17,10,1,6,6,4,No
110,7.64,7.75,3,1,7,8,0,No
107,6.67,6.53,6,0,7,8,0,No
98,6.04,6.32,9,1,10,2,2,No
87,9.0,9.15,1,0,7,6,4,No
77,8.12,7.85,6,1,8,3,3,No
93,7.34,6.99,2,1,5,9,0,No
112,6.09,6.22,9,1,3,3,3,No
103,6.67,6.62,2,1,1,1,3,No
81,9.8,9.47,3,0,4,9,0,No
102,7.6,7.43,2,1,5,8,5,No
105,7.0,6.8,4,1,6,2,2,No
86,7.61,7.22,4,0,5,10,4,No
102,8.89,8.94,10,1,3,10,0,No
100,6.7,6.96,1,1,3,3,1,No
82,5.89,5.97,8,1,6,7,1,No
105,7.92,8.25,5,1,0,6,3,No
108,8.33,7.96,8,0,2,8,1,No
116,8.56,8.5,6,1,9,10,3,Yes
115,9.41,9.52,2,0,1,5,5,Yes
79,6.86,7.04,7,0,1,5,5,No
85,5.38,5.58,10,0,6,2,5,No
107,9.79,10.02,9,0,4,6,5,No
107,7.18,7.33,7,1,2,5,5,No
107,8.12,7.71,5,0,8,9,4,No
108,7.73,7.95,8,0,2,5,0,No
117,6.03,6.52,6,0,1,3,4,No
114,8.78,8.97,5,1,2,9,3,Yes
109,9.02,9.21,7,1,8,9,5,Yes
95,7.76,7.77,3,1,7,10,2,No
111,7.44,7.81,9,0,2,7,1,No
88,5.57,6.07,4,0,3,1,5,No
96,5.42,5.7,4,0,4,9,4,No
92,6.7,6.81,8,0,3,9,1,No
101,6.55,6.13,6,1,10,10,2,No
134,9.77,10.0,1,1,1,5,3,Yes
71,8.92,9.13,2,0,10,2,5,No
110,8.3,8.58,9,0,8,1,1,No
75,7.59,7.21,6,0,1,2,3,No
92,5.84,5.99,7,1,4,4,5,No
116,9.89,9.69,9,0,10,4,2,Yes
100,6.88,7.14,3,1,8,1,3,No
83,5.53,5.27,5,1,7,8,2,No
89,7.47,7.65,5,1,0,10,0,No
110,9.37,9.16,10,0,2,8,1,No
89,9.44,8.95,7,1,9,8,1,No
103,5.05,5.18,2,1,8,5,2,No
100,9.43,9.04,4,0,2,10,2,Yes
90,6.36,6.52,4,0,10,2,4,No
132,5.19,5.62,8,1,3,4,2,No
109,9.24,9.71,10,1,2,1,2,No
69,9.32,9.06,3,0,6,10,3,Yes
102,7.98,8.29,2,0,8,1,3,No
90,7.87,7.72,9,0,3,10,1,No
112,9.07,9.47,4,0,8,3,3,Yes
88,8.93,9.22,9,1,1,4,3,No
98,9.45,9.02,6,0,1,3,1,No
107,7.76,7.67,1,0,8,3,5,No
112,9.84,9.68,3,0,6,8,0,Yes
81,9.98,10.27,7,0,4,4,4,No
94,5.58,5.49,9,1,4,3,3,No
92,9.25,9.43,8,1,8,9,0,No
90,7.5,7.6,5,1,10,1,4,No
126,6.94,7.42,8,1,3,8,1,No
106,8.07,8.51,2,0,10,5,3,No
81,5.28,5.21,3,0,0,8,5,No
113,7.53,7.75,8,0,5,10,3,Yes
131,9.35,9.68,9,1,2,3,2,Yes
115,6.07,6.47,10,0,1,6,3,No
77,7.13,6.7,8,1,3,7,3,No
92,9.7,9.5,4,1,8,8,0,No
119,7.14,6.96,6,0,7,7,0,No
89,6.79,6.72,5,1,6,7,3,No
106,7.2,6.87,4,0,1,2,5,No
111,7.6,7.6,9,1,0,3,4,No
86,8.16,8.32,10,0,6,6,1,No
99,9.0,9.0,3,0,9,3,5,No
84,9.09,8.66,7,0,10,9,5,Yes
96,7.67,8.05,10,1,7,6,5,No
81,6.69,7.13,8,1,4,1,4,No
124,8.29,8.41,3,0,9,1,5,Yes
78,8.59,8.97,3,0,4,4,3,No
93,7.79,7.42,6,0,7,10,2,No
101,5.28,5.58,2,0,8,8,0,No
121,5.85,5.47,6,0,1,3,5,No
78,6.43,6.34,5,0,7,4,0,No
117,6.41,6.23,7,0,6,6,2,No
100,8.37,8.46,9,0,7,9,3,Yes
85,5.09,4.89,9,0,2,4,0,No
106,8.78,8.92,1,0,3,3,3,No
102,6.33,6.2,7,0,6,10,4,No
90,6.55,6.91,3,0,4,10,0,No
101,7.64,7.77,4,1,6,9,3,No
94,6.08,5.8,2,1,5,7,4,No
101,9.42,9.26,1,0,3,9,5,Yes
109,5.43,5.78,10,1,1,10,0,No
123,7.22,7.11,3,1,5,6,1,No
81,9.25,9.29,10,0,5,4,3,No
131,8.08,8.23,9,0,5,5,4,Yes
70,6.46,6.31,1,1,0,10,5,No
97,7.1,6.89,3,0,5,2,1,No
108,8.53,8.51,5,1,1,3,3,No
104,9.87,9.58,3,0,9,5,0,No
90,9.47,9.25,4,0,4,3,5,No
96,6.71,6.27,4,0,6,3,3,No
92,9.99,9.79,1,1,9,9,4,Yes
91,5.02,4.84,6,1,0,4,0,No
112,5.14,5.6,7,1,4,4,0,No
105,9.12,9.21,7,1,8,1,5,No
89,6.0,6.29,6,0,2,7,0,No
113,5.3,4.85,7,0,1,10,2,Yes
104,6.19,5.8,3,1,9,9,4,No
112,7.13,7.44,5,1,1,8,1,No
